[synthetic_bench] cube n=55 d=3 classes=505288 merges=55 ...
[pe] round=  9 work=       54 frontier=       54 next=       18 consolidate=  0.018ms frontier=  0.008ms semisort=  0.019ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.004ms)
[pe] round= 10 work=       18 frontier=       18 next=        6 consolidate=  0.008ms frontier=  0.004ms semisort=  0.010ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.002ms)
[pe] round= 11 work=        6 frontier=        6 next=        2 consolidate=  0.005ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.001ms)
[pe] round= 12 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate=  0.251ms frontier=  0.303ms semisort= 34.159ms (keyed= 0.000ms group_by= 12.730ms per_group= 8.105ms)
[pe] round=  1 work=   332750 frontier=   332750 next=   113380 consolidate= 26.006ms frontier=  4.443ms semisort= 14.776ms (keyed= 0.000ms group_by=  4.567ms per_group= 2.829ms)
[pe] round=  2 work=   113380 frontier=   113380 next=    39366 consolidate=  9.701ms frontier=  1.695ms semisort= 15.500ms (keyed= 0.000ms group_by= 12.064ms per_group= 0.994ms)
[pe] round=  3 work=    39366 frontier=    39366 next=    13122 consolidate=  3.257ms frontier=  0.759ms semisort=  5.032ms (keyed= 0.000ms group_by=  3.886ms per_group= 0.353ms)
[pe] round=  4 work=    13122 frontier=    13122 next=     4374 consolidate=  1.607ms frontier=  0.241ms semisort=  1.399ms (keyed= 0.000ms group_by=  0.983ms per_group= 0.135ms)
[pe] round=  5 work=     4374 frontier=     4374 next=     1458 consolidate=  0.559ms frontier=  0.223ms semisort=  0.507ms (keyed= 0.000ms group_by=  0.278ms per_group= 0.052ms)
[pe] round=  6 work=     1458 frontier=     1458 next=      486 consolidate=  0.212ms frontier=  0.108ms semisort=  0.195ms (keyed= 0.000ms group_by=  0.092ms per_group= 0.034ms)
[pe] round=  7 work=      486 frontier=      486 next=      162 consolidate=  0.083ms frontier=  0.039ms semisort=  0.080ms (keyed= 0.000ms group_by=  0.034ms per_group= 0.013ms)
[pe] round=  8 work=      162 frontier=      162 next=       54 consolidate=  0.049ms frontier=  0.018ms semisort=  0.038ms (keyed= 0.000ms group_by=  0.016ms per_group= 0.008ms)
[pe] round=  9 work=       54 frontier=       54 next=       18 consolidate=  0.016ms frontier=  0.008ms semisort=  0.020ms (keyed= 0.000ms group_by=  0.009ms per_group= 0.004ms)
[pe] round= 10 work=       18 frontier=       18 next=        6 consolidate=  0.014ms frontier=  0.003ms semisort=  0.011ms (keyed= 0.000ms group_by=  0.006ms per_group= 0.002ms)
[pe] round= 11 work=        6 frontier=        6 next=        2 consolidate=  0.005ms frontier=  0.002ms semisort=  0.007ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.001ms)
[pe] round= 12 work=        2 frontier=        0 next=        0 consolidate=  0.003ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate=  0.256ms frontier=  0.323ms semisort= 33.472ms (keyed= 0.000ms group_by= 12.541ms per_group= 7.842ms)
