workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,dnc_cutoff,wallclock_ms
deep-s,1000,4,10000,2000,3,nelson_seq,4,2,16,2.0053
deep-s,1000,4,10000,2000,3,par_close,0,2,16,4.3410
deep-s,1000,4,10000,2000,3,par_close,1,2,16,4.2477
deep-s,1000,4,10000,2000,3,par_close,2,2,16,4.2813
deep-s,1000,4,10000,2000,3,par_close,3,2,16,4.3125
deep-s,1000,4,10000,2000,3,par_close,4,2,16,4.2091
deep-m,10000,8,200000,20000,3,nelson_seq,0,2,16,74.0207
deep-m,10000,8,200000,20000,3,nelson_seq,1,2,16,76.2708
deep-m,10000,8,200000,20000,3,nelson_seq,2,2,16,76.0494
deep-m,10000,8,200000,20000,3,nelson_seq,3,2,16,73.5197
deep-m,10000,8,200000,20000,3,nelson_seq,4,2,16,73.2522
deep-m,10000,8,200000,20000,3,par_close,0,2,16,67.3601
deep-m,10000,8,200000,20000,3,par_close,1,2,16,66.6893
deep-m,10000,8,200000,20000,3,par_close,2,2,16,67.5324
deep-m,10000,8,200000,20000,3,par_close,3,2,16,66.3795
deep-m,10000,8,200000,20000,3,par_close,4,2,16,67.0351
deep-l,50000,16,1000000,100000,3,nelson_seq,0,2,16,856.1867
deep-l,50000,16,1000000,100000,3,nelson_seq,1,2,16,857.0399
deep-l,50000,16,1000000,100000,3,nelson_seq,2,2,16,863.6577
deep-l,50000,16,1000000,100000,3,nelson_seq,3,2,16,866.7760
deep-l,50000,16,1000000,100000,3,nelson_seq,4,2,16,859.7407
deep-l,50000,16,1000000,100000,3,par_close,0,2,16,530.5579
deep-l,50000,16,1000000,100000,3,par_close,1,2,16,614.9786
deep-l,50000,16,1000000,100000,3,par_close,2,2,16,580.6781
deep-l,50000,16,1000000,100000,3,par_close,3,2,16,577.0466
deep-l,50000,16,1000000,100000,3,par_close,4,2,16,577.7062
small,1000,4,10000,2000,1,nelson_seq,0,4,16,2.8875
small,1000,4,10000,2000,1,nelson_seq,1,4,16,2.8649
small,1000,4,10000,2000,1,nelson_seq,2,4,16,2.9038
small,1000,4,10000,2000,1,nelson_seq,3,4,16,2.9466
small,1000,4,10000,2000,1,nelson_seq,4,4,16,3.0767
small,1000,4,10000,2000,1,par_close,0,4,16,3.1516
small,1000,4,10000,2000,1,par_close,1,4,16,3.1050
small,1000,4,10000,2000,1,par_close,2,4,16,3.1081
small,1000,4,10000,2000,1,par_close,3,4,16,3.1377
small,1000,4,10000,2000,1,par_close,4,4,16,3.1094
medium,10000,8,200000,20000,1,nelson_seq,0,4,16,64.3493
medium,10000,8,200000,20000,1,nelson_seq,1,4,16,63.1268
medium,10000,8,200000,20000,1,nelson_seq,2,4,16,62.5551
medium,10000,8,200000,20000,1,nelson_seq,3,4,16,62.4722
medium,10000,8,200000,20000,1,nelson_seq,4,4,16,62.2560
medium,10000,8,200000,20000,1,par_close,0,4,16,47.6244
medium,10000,8,200000,20000,1,par_close,1,4,16,48.1199
medium,10000,8,200000,20000,1,par_close,2,4,16,46.4338
medium,10000,8,200000,20000,1,par_close,3,4,16,44.4619
medium,10000,8,200000,20000,1,par_close,4,4,16,42.9815
large,50000,16,1000000,100000,1,nelson_seq,0,4,16,980.8461
large,50000,16,1000000,100000,1,nelson_seq,1,4,16,939.4750
large,50000,16,1000000,100000,1,nelson_seq,2,4,16,944.7116
large,50000,16,1000000,100000,1,nelson_seq,3,4,16,945.5463
large,50000,16,1000000,100000,1,nelson_seq,4,4,16,940.8222
