workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
large,50000,16,1000000,100000,1,nelson_seq,4,2,dnc,16,911.9055
large,50000,16,1000000,100000,1,par_close,0,2,dnc,16,454.6923
large,50000,16,1000000,100000,1,par_close,1,2,dnc,16,462.5659
large,50000,16,1000000,100000,1,par_close,2,2,dnc,16,466.8204
large,50000,16,1000000,100000,1,par_close,3,2,dnc,16,468.6643
large,50000,16,1000000,100000,1,par_close,4,2,dnc,16,468.9032
deep-s,1000,4,10000,2000,3,nelson_seq,0,2,dnc,16,2.3749
deep-s,1000,4,10000,2000,3,nelson_seq,1,2,dnc,16,2.3899
deep-s,1000,4,10000,2000,3,nelson_seq,2,2,dnc,16,2.4229
deep-s,1000,4,10000,2000,3,nelson_seq,3,2,dnc,16,2.4434
deep-s,1000,4,10000,2000,3,nelson_seq,4,2,dnc,16,2.3662
deep-s,1000,4,10000,2000,3,par_close,0,2,dnc,16,3.8383
deep-s,1000,4,10000,2000,3,par_close,1,2,dnc,16,3.7955
deep-s,1000,4,10000,2000,3,par_close,2,2,dnc,16,3.8858
deep-s,1000,4,10000,2000,3,par_close,3,2,dnc,16,3.8968
deep-s,1000,4,10000,2000,3,par_close,4,2,dnc,16,3.8052
deep-m,10000,8,200000,20000,3,nelson_seq,0,2,dnc,16,112.1430
deep-m,10000,8,200000,20000,3,nelson_seq,1,2,dnc,16,111.2846
deep-m,10000,8,200000,20000,3,nelson_seq,2,2,dnc,16,113.0677
deep-m,10000,8,200000,20000,3,nelson_seq,3,2,dnc,16,112.5639
deep-m,10000,8,200000,20000,3,nelson_seq,4,2,dnc,16,113.7400
deep-m,10000,8,200000,20000,3,par_close,0,2,dnc,16,80.0880
deep-m,10000,8,200000,20000,3,par_close,1,2,dnc,16,78.6585
deep-m,10000,8,200000,20000,3,par_close,2,2,dnc,16,79.3216
deep-m,10000,8,200000,20000,3,par_close,3,2,dnc,16,79.7725
deep-m,10000,8,200000,20000,3,par_close,4,2,dnc,16,79.6080
deep-l,50000,16,1000000,100000,3,nelson_seq,0,2,dnc,16,844.8781
deep-l,50000,16,1000000,100000,3,nelson_seq,1,2,dnc,16,839.0154
deep-l,50000,16,1000000,100000,3,nelson_seq,2,2,dnc,16,846.0439
deep-l,50000,16,1000000,100000,3,nelson_seq,3,2,dnc,16,839.4909
deep-l,50000,16,1000000,100000,3,nelson_seq,4,2,dnc,16,847.0574
deep-l,50000,16,1000000,100000,3,par_close,0,2,dnc,16,386.5340
deep-l,50000,16,1000000,100000,3,par_close,1,2,dnc,16,389.5249
deep-l,50000,16,1000000,100000,3,par_close,2,2,dnc,16,392.7616
deep-l,50000,16,1000000,100000,3,par_close,3,2,dnc,16,394.1247
deep-l,50000,16,1000000,100000,3,par_close,4,2,dnc,16,395.0693
small,1000,4,10000,2000,1,nelson_seq,0,4,dnc,16,2.7249
small,1000,4,10000,2000,1,nelson_seq,1,4,dnc,16,2.7507
small,1000,4,10000,2000,1,nelson_seq,2,4,dnc,16,2.7183
small,1000,4,10000,2000,1,nelson_seq,3,4,dnc,16,2.6046
small,1000,4,10000,2000,1,nelson_seq,4,4,dnc,16,2.7846
small,1000,4,10000,2000,1,par_close,0,4,dnc,16,4.4527
small,1000,4,10000,2000,1,par_close,1,4,dnc,16,4.7545
small,1000,4,10000,2000,1,par_close,2,4,dnc,16,4.7987
small,1000,4,10000,2000,1,par_close,3,4,dnc,16,4.7531
small,1000,4,10000,2000,1,par_close,4,4,dnc,16,4.6279
medium,10000,8,200000,20000,1,nelson_seq,0,4,dnc,16,150.0212
medium,10000,8,200000,20000,1,nelson_seq,1,4,dnc,16,149.1550
medium,10000,8,200000,20000,1,nelson_seq,2,4,dnc,16,149.6326
medium,10000,8,200000,20000,1,nelson_seq,3,4,dnc,16,150.9253
medium,10000,8,200000,20000,1,nelson_seq,4,4,dnc,16,148.6553
medium,10000,8,200000,20000,1,par_close,0,4,dnc,16,58.6375
medium,10000,8,200000,20000,1,par_close,1,4,dnc,16,59.1810
medium,10000,8,200000,20000,1,par_close,2,4,dnc,16,58.3907
medium,10000,8,200000,20000,1,par_close,3,4,dnc,16,60.2846
medium,10000,8,200000,20000,1,par_close,4,4,dnc,16,60.2249
large,50000,16,1000000,100000,1,nelson_seq,0,4,dnc,16,928.0093
large,50000,16,1000000,100000,1,nelson_seq,1,4,dnc,16,917.1175
large,50000,16,1000000,100000,1,nelson_seq,2,4,dnc,16,922.3718
large,50000,16,1000000,100000,1,nelson_seq,3,4,dnc,16,923.2925
large,50000,16,1000000,100000,1,nelson_seq,4,4,dnc,16,923.4874
large,50000,16,1000000,100000,1,par_close,0,4,dnc,16,286.5409
large,50000,16,1000000,100000,1,par_close,1,4,dnc,16,286.9812
large,50000,16,1000000,100000,1,par_close,2,4,dnc,16,290.0922
large,50000,16,1000000,100000,1,par_close,3,4,dnc,16,294.6907
