workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
deep-l,1,0,86518,576676,225233,17.813,1.681,174.330,0.000,43.961,14.042
deep-l,1,1,225233,450223,116944,42.268,5.566,191.281,0.000,54.952,29.978
deep-l,1,2,116944,233969,0,58.084,9.867,95.684,0.000,34.227,6.302
deep-l,1,0,86518,576676,225233,17.704,1.698,175.233,0.000,44.204,13.998
deep-l,1,1,225233,450223,116944,42.755,5.428,192.580,0.000,55.407,30.067
deep-l,1,2,116944,233969,0,57.811,9.933,96.451,0.000,34.503,6.373
deep-l,1,0,86518,576676,225233,17.810,1.634,176.871,0.000,44.961,14.230
deep-l,1,1,225233,450223,116944,43.021,5.530,193.145,0.000,55.604,30.157
deep-l,1,2,116944,233969,0,58.312,9.965,97.013,0.000,34.796,6.376
small,2,0,1720,17118,7959,0.376,0.061,2.917,0.000,1.092,0.575
small,2,1,7959,0,0,0.907,0.215,0.000,,,
small,2,0,1720,17118,7959,0.217,0.043,2.509,0.000,0.851,0.535
small,2,1,7959,0,0,0.935,0.200,0.000,,,
small,2,0,1720,17118,7959,0.218,0.044,2.524,0.000,0.913,0.524
small,2,1,7959,0,0,0.981,0.202,0.000,,,
small,2,0,1720,17118,7959,0.211,0.044,2.546,0.000,0.891,0.537
small,2,1,7959,0,0,0.969,0.196,0.000,,,
small,2,0,1720,17118,7959,0.216,0.045,2.595,0.000,0.908,0.538
small,2,1,7959,0,0,0.997,0.180,0.000,,,
small,2,0,1720,17118,7959,0.237,0.044,2.892,0.000,1.125,0.598
small,2,1,7959,0,0,1.039,0.187,0.000,,,
medium,2,0,17367,347448,160295,2.759,0.781,57.346,0.000,11.786,11.866
medium,2,1,160295,0,0,16.417,3.065,0.000,,,
medium,2,0,17367,347448,160295,2.626,0.780,54.989,0.000,10.690,11.534
medium,2,1,160295,0,0,16.589,3.134,0.000,,,
medium,2,0,17367,347448,160295,2.763,0.636,55.900,0.000,10.996,11.653
medium,2,1,160295,0,0,17.210,3.568,0.000,,,
medium,2,0,17367,347448,160295,2.636,0.633,56.506,0.000,11.287,11.753
medium,2,1,160295,0,0,17.202,3.203,0.000,,,
medium,2,0,17367,347448,160295,2.514,0.619,56.396,0.000,11.523,11.538
medium,2,1,160295,0,0,17.491,3.310,0.000,,,
medium,2,0,17367,347448,160295,2.849,0.641,56.711,0.000,11.537,11.716
medium,2,1,160295,0,0,17.743,3.385,0.000,,,
large,2,0,86518,1730227,737662,15.948,1.764,334.001,0.000,53.571,48.289
large,2,1,737662,0,0,69.867,10.815,0.000,,,
large,2,0,86518,1730227,737662,16.244,1.864,332.998,0.000,52.427,47.853
large,2,1,737662,0,0,71.441,10.617,0.000,,,
large,2,0,86518,1730227,737662,15.966,1.680,336.403,0.000,53.991,47.950
large,2,1,737662,0,0,74.728,12.151,0.000,,,
large,2,0,86518,1730227,737662,16.232,1.846,339.027,0.000,54.945,48.219
large,2,1,737662,0,0,74.175,11.375,0.000,,,
large,2,0,86518,1730227,737662,16.129,1.826,339.551,0.000,55.291,48.080
large,2,1,737662,0,0,75.885,12.100,0.000,,,
large,2,0,86518,1730227,737662,16.311,1.671,339.459,0.000,55.999,48.479
large,2,1,737662,0,0,74.305,11.599,0.000,,,
deep-s,2,0,1720,5755,2393,0.226,0.039,0.878,0.000,0.328,0.225
deep-s,2,1,2393,4828,1048,0.407,0.065,0.943,0.000,0.346,0.193
deep-s,2,2,1048,2096,0,0.386,0.115,0.413,0.000,0.158,0.041
deep-s,2,0,1720,5755,2393,0.196,0.036,0.925,0.000,0.309,0.222
deep-s,2,1,2393,4828,1048,0.372,0.066,0.917,0.000,0.349,0.193
deep-s,2,2,1048,2096,0,0.382,0.109,0.395,0.000,0.162,0.043
deep-s,2,0,1720,5755,2393,0.212,0.037,0.849,0.000,0.309,0.219
deep-s,2,1,2393,4828,1048,0.373,0.067,0.918,0.000,0.359,0.193
deep-s,2,2,1048,2096,0,0.381,0.095,0.441,0.000,0.201,0.053
deep-s,2,0,1720,5755,2393,0.212,0.037,0.881,0.000,0.328,0.234
deep-s,2,1,2393,4828,1048,0.432,0.062,0.903,0.000,0.341,0.188
deep-s,2,2,1048,2096,0,0.393,0.096,0.443,0.000,0.222,0.051
deep-s,2,0,1720,5755,2393,0.199,0.036,0.851,0.000,0.309,0.218
deep-s,2,1,2393,4828,1048,0.421,0.071,0.889,0.000,0.329,0.199
deep-s,2,2,1048,2096,0,0.393,0.097,0.498,0.000,0.221,0.052
deep-s,2,0,1720,5755,2393,0.235,0.037,0.858,0.000,0.304,0.227
deep-s,2,1,2393,4828,1048,0.371,0.065,0.906,0.000,0.349,0.190
deep-s,2,2,1048,2096,0,0.381,0.094,0.412,0.000,0.166,0.043
deep-m,2,0,17367,115794,47572,2.695,0.527,20.297,0.000,6.846,3.592
deep-m,2,1,47572,95336,26271,7.709,0.863,21.599,0.000,7.876,3.388
deep-m,2,2,26271,52514,0,7.476,1.118,12.349,0.000,4.906,0.936
deep-m,2,0,17367,115794,47572,2.733,0.481,20.014,0.000,6.618,3.476
deep-m,2,1,47572,95336,26271,7.776,1.003,22.000,0.000,8.022,3.345
deep-m,2,2,26271,52514,0,7.636,1.137,12.633,0.000,5.204,0.906
deep-m,2,0,17367,115794,47572,2.687,0.528,19.788,0.000,6.525,3.501
deep-m,2,1,47572,95336,26271,7.566,1.048,21.573,0.000,7.659,3.286
deep-m,2,2,26271,52514,0,7.655,1.109,12.252,0.000,4.838,0.893
deep-m,2,0,17367,115794,47572,2.625,0.494,19.890,0.000,6.555,3.540
deep-m,2,1,47572,95336,26271,7.602,0.935,21.868,0.000,7.811,3.311
deep-m,2,2,26271,52514,0,7.717,1.182,12.471,0.000,5.066,0.865
deep-m,2,0,17367,115794,47572,2.584,0.529,19.717,0.000,6.411,3.350
