workload,parlay_threads,round,work,frontier,next,consolidate_ms,frontier_ms,semisort_ms,keyed_ms,group_by_ms,per_group_ms
2XL,2,2,1331386,2662670,18,303.616,25.697,687.112,0.000,207.332,48.619
2XL,2,3,18,0,0,0.022,0.004,0.000,,,
2XL,2,0,99964,2665698,1332660,15.074,1.650,487.495,0.000,58.352,85.572
2XL,2,1,1332660,2665302,1331386,193.549,12.319,610.586,0.000,65.911,76.479
2XL,2,2,1331386,2662670,18,303.670,26.260,755.652,0.000,243.303,65.193
2XL,2,3,18,0,0,0.020,0.003,0.000,,,
2XL,2,0,99964,2665698,1332660,13.903,1.747,486.476,0.000,57.756,85.297
2XL,2,1,1332660,2665302,1331386,192.469,12.364,614.556,0.000,69.814,79.709
2XL,2,2,1331386,2662670,18,303.487,25.881,755.890,0.000,242.768,63.729
2XL,2,3,18,0,0,0.023,0.004,0.000,,,
2XL,2,0,99964,2665698,1332660,15.125,1.667,487.678,0.000,58.095,85.797
2XL,2,1,1332660,2665302,1331386,193.981,12.232,609.493,0.000,65.954,76.398
2XL,2,2,1331386,2662670,18,304.910,25.787,766.633,0.000,246.034,67.153
2XL,2,3,18,0,0,0.019,0.003,0.000,,,
2XL,2,0,99964,2665698,1332660,14.070,1.712,489.981,0.000,58.067,85.784
2XL,2,1,1332660,2665302,1331386,194.377,12.550,616.000,0.000,70.290,79.683
2XL,2,2,1331386,2662670,18,303.864,26.543,766.245,0.000,246.147,66.927
2XL,2,3,18,0,0,0.020,0.003,0.000,,,
2XL,32,0,99964,2665698,1332660,2.917,0.849,47.970,0.000,11.290,10.710
2XL,32,1,1332660,2665302,1331386,21.885,3.412,96.028,0.000,15.617,6.557
2XL,32,2,1331386,2662670,18,31.079,5.185,55.542,0.000,20.722,6.301
2XL,32,3,18,0,0,0.021,0.005,0.000,,,
2XL,32,0,99964,2665698,1332660,2.007,0.890,43.543,0.000,8.431,10.665
2XL,32,1,1332660,2665302,1331386,18.888,3.487,91.201,0.000,10.911,6.551
2XL,32,2,1331386,2662670,18,27.540,3.616,54.065,0.000,20.043,5.745
2XL,32,3,18,0,0,0.021,0.005,0.000,,,
2XL,32,0,99964,2665698,1332660,2.000,0.889,43.758,0.000,8.167,10.091
2XL,32,1,1332660,2665302,1331386,17.994,3.328,88.840,0.000,7.131,6.275
2XL,32,2,1331386,2662670,18,26.120,4.294,56.526,0.000,20.579,5.750
2XL,32,3,18,0,0,0.024,0.005,0.000,,,
2XL,32,0,99964,2665698,1332660,1.948,0.919,46.597,0.000,9.573,11.215
2XL,32,1,1332660,2665302,1331386,18.135,3.531,101.359,0.000,7.348,6.517
2XL,32,2,1331386,2662670,18,26.101,3.489,56.670,0.000,20.412,5.865
2XL,32,3,18,0,0,0.023,0.005,0.000,,,
2XL,32,0,99964,2665698,1332660,2.757,0.887,44.313,0.000,8.598,10.009
2XL,32,1,1332660,2665302,1331386,19.067,3.616,90.212,0.000,7.419,6.185
2XL,32,2,1331386,2662670,18,27.362,4.436,57.438,0.000,20.509,5.852
2XL,32,3,18,0,0,0.023,0.005,0.000,,,
2XL,32,0,99964,2665698,1332660,1.986,0.886,43.065,0.000,8.402,8.882
2XL,32,1,1332660,2665302,1331386,19.571,3.753,93.673,0.000,10.281,6.707
2XL,32,2,1331386,2662670,18,26.956,4.422,58.119,0.000,20.805,5.934
2XL,32,3,18,0,0,0.025,0.005,0.000,,,
2XL,4,0,99964,2665698,1332660,9.166,1.216,264.580,0.000,31.351,48.663
2XL,4,1,1332660,2665302,1331386,105.780,6.600,327.063,0.000,36.402,38.715
