file,expected,algorithm,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
arrays-ops.3.ground.smt2,,par_async,64,0,unsat,0.023274,0.000320,0.001850,0.008660,0.005440,0.000000,0.000990,
arrays-ops.3.ground.smt2,,par_async,128,0,unsat,0.038131,0.000350,0.002080,0.026100,0.000640,0.000000,0.001160,
arrays-ops.3.ground.smt2,,par_async,144,0,unsat,0.038253,0.000410,0.001990,0.024730,0.000980,0.000000,0.001520,
arrays-ops.4.ground.smt2,,nelson_topo_iter,1,0,unsat,0.014143,0.000520,0.002780,0.005140,0.000170,0.000000,0.000040,
arrays-ops.4.ground.smt2,,nelson_simple,1,0,unsat,0.018651,0.000690,0.005170,0.005250,0.000150,0.000000,0.000040,
arrays-ops.4.ground.smt2,,par_async,1,0,unsat,0.014773,0.000400,0.002840,0.004150,0.000300,0.000000,0.000030,
arrays-ops.4.ground.smt2,,par_async,2,0,unsat,0.015999,0.000580,0.003990,0.003680,0.000320,0.000000,0.000030,
arrays-ops.4.ground.smt2,,par_async,4,0,unsat,0.016133,0.000590,0.003860,0.003790,0.000320,0.000000,0.000030,
arrays-ops.4.ground.smt2,,par_async,8,0,unsat,0.018531,0.000740,0.003790,0.005680,0.000330,0.000000,0.000050,
arrays-ops.4.ground.smt2,,par_async,16,0,unsat,0.021475,0.002220,0.004860,0.006440,0.000330,0.000000,0.000050,
arrays-ops.4.ground.smt2,,par_async,32,0,unsat,0.019837,0.000710,0.003760,0.007090,0.000320,0.000000,0.000080,
arrays-ops.4.ground.smt2,,par_async,64,0,unsat,0.024015,0.000590,0.003660,0.011340,0.000510,0.000000,0.000440,
arrays-ops.4.ground.smt2,,par_async,128,0,unsat,0.040679,0.000680,0.004480,0.022360,0.001000,0.000000,0.000860,
arrays-ops.4.ground.smt2,,par_async,144,0,unsat,0.039182,0.000480,0.002740,0.025930,0.000750,0.000000,0.000170,
arrays-outputs.0.ground.smt2,,nelson_topo_iter,1,0,unsat,1.186081,0.064890,0.470680,0.411480,0.043270,0.000000,0.002490,
arrays-outputs.0.ground.smt2,,nelson_simple,1,0,unsat,1.451210,0.059970,0.656480,0.482120,0.046980,0.000000,0.003480,
arrays-outputs.0.ground.smt2,,par_async,1,0,unsat,1.260831,0.056670,0.450830,0.427830,0.125370,0.000000,0.001770,
arrays-outputs.0.ground.smt2,,par_async,2,0,unsat,1.087386,0.062070,0.402320,0.345820,0.077390,0.000000,0.002070,
arrays-outputs.0.ground.smt2,,par_async,4,0,unsat,1.163355,0.060350,0.441360,0.403030,0.062740,0.000000,0.003290,
arrays-outputs.0.ground.smt2,,par_async,8,0,unsat,1.307996,0.057800,0.544310,0.433590,0.063870,0.000000,0.009340,
arrays-outputs.0.ground.smt2,,par_async,16,0,unsat,1.051741,0.056830,0.378410,0.356640,0.048900,0.000000,0.018130,
arrays-outputs.0.ground.smt2,,par_async,32,0,unsat,1.167476,0.056830,0.424150,0.404570,0.048590,0.000000,0.033220,
arrays-outputs.0.ground.smt2,,par_async,64,0,unsat,1.153939,0.054020,0.372740,0.405060,0.061930,0.000000,0.074570,
arrays-outputs.0.ground.smt2,,par_async,128,0,unsat,1.829184,0.081980,0.760520,0.593550,0.078750,0.000000,0.118450,
arrays-outputs.0.ground.smt2,,par_async,144,0,unsat,1.611874,0.062010,0.504040,0.662670,0.078090,0.000000,0.115480,
demo.1.ground.smt2,,nelson_topo_iter,1,0,unsat,1.537780,0.075470,0.607040,0.577090,0.055140,0.000000,0.004560,
demo.1.ground.smt2,,nelson_simple,1,0,unsat,1.858293,0.100560,0.890460,0.592760,0.046970,0.000000,0.004920,
demo.1.ground.smt2,,par_async,1,0,unsat,1.805609,0.078960,0.736270,0.580620,0.184190,0.000000,0.002560,
demo.1.ground.smt2,,par_async,2,0,unsat,1.397998,0.080320,0.511160,0.500250,0.087960,0.000000,0.001450,
demo.1.ground.smt2,,par_async,4,0,unsat,1.317389,0.076220,0.500680,0.457680,0.062300,0.000000,0.001320,
demo.1.ground.smt2,,par_async,8,0,unsat,1.592833,0.069520,0.697740,0.555480,0.047710,0.000000,0.001650,
demo.1.ground.smt2,,par_async,16,0,unsat,1.821814,0.077690,0.915110,0.559970,0.042750,0.000000,0.002050,
demo.1.ground.smt2,,par_async,32,0,unsat,1.524338,0.078890,0.620370,0.550700,0.042360,0.000000,0.002070,
demo.1.ground.smt2,,par_async,64,0,unsat,1.499677,0.077450,0.642660,0.508420,0.047450,0.000000,0.002700,
demo.1.ground.smt2,,par_async,128,0,unsat,1.555342,0.073370,0.605980,0.585350,0.060780,0.000000,0.003480,
demo.1.ground.smt2,,par_async,144,0,unsat,1.621925,0.077820,0.702060,0.554460,0.063790,0.000000,0.003210,
demo.12.ground.smt2,,nelson_topo_iter,1,0,unsat,1.506493,0.068410,0.729730,0.495260,0.030600,0.000000,0.003790,
demo.12.ground.smt2,,nelson_simple,1,0,unsat,1.495584,0.077150,0.720230,0.487790,0.027870,0.000000,0.003990,
demo.12.ground.smt2,,par_async,1,0,unsat,1.620465,0.073870,0.733400,0.469960,0.161490,0.000000,0.002020,
demo.12.ground.smt2,,par_async,2,0,unsat,1.044075,0.059200,0.379850,0.338260,0.090850,0.000000,0.002380,
demo.12.ground.smt2,,par_async,4,0,unsat,1.091504,0.056820,0.366420,0.403550,0.085480,0.000000,0.004670,
demo.12.ground.smt2,,par_async,8,0,unsat,1.151630,0.057280,0.454830,0.383200,0.069240,0.000000,0.009760,
demo.12.ground.smt2,,par_async,16,0,unsat,1.464626,0.055090,0.658270,0.481810,0.073180,0.000000,0.023380,
demo.12.ground.smt2,,par_async,32,0,unsat,1.297223,0.055430,0.536480,0.417520,0.071360,0.000000,0.037630,
demo.12.ground.smt2,,par_async,64,0,unsat,1.221949,0.058170,0.411040,0.426530,0.074360,0.000000,0.084930,
demo.12.ground.smt2,,par_async,128,0,unsat,1.334993,0.056500,0.440870,0.475240,0.088690,0.000000,0.115330,
demo.12.ground.smt2,,par_async,144,0,unsat,1.248079,0.054210,0.415810,0.419660,0.078720,0.000000,0.118250,
demo.13.ground.smt2,,nelson_topo_iter,1,0,unsat,1.310724,0.058920,0.537700,0.477060,0.040410,0.000000,0.003950,
demo.13.ground.smt2,,nelson_simple,1,0,unsat,1.295523,0.060050,0.479380,0.481540,0.071330,0.000000,0.004080,
demo.13.ground.smt2,,par_async,1,0,unsat,1.198280,0.059040,0.402740,0.375070,0.174180,0.000000,0.001630,
demo.13.ground.smt2,,par_async,2,0,unsat,1.354470,0.057680,0.469810,0.456530,0.175540,0.000000,0.002730,
demo.13.ground.smt2,,par_async,4,0,unsat,1.119075,0.054820,0.379540,0.373510,0.121260,0.000000,0.004120,
demo.13.ground.smt2,,par_async,8,0,unsat,1.262402,0.057780,0.494500,0.408940,0.104520,0.000000,0.011340,
demo.13.ground.smt2,,par_async,16,0,unsat,1.176677,0.055980,0.377470,0.431120,0.096260,0.000000,0.026650,
