file,expected,threads,trial,result,wall_s,read_s,parse_s,build_s,close_s,check_s,dtor_s,error
arrays-ops.1.ground.smt2,,2,0,unsat,0.006801,0.000120,0.000630,0.002150,0.000870,0.000000,0.000030,
arrays-ops.1.ground.smt2,,2,1,unsat,0.006499,0.000120,0.000620,0.002130,0.000700,0.000000,0.000040,
arrays-ops.1.ground.smt2,,2,2,unsat,0.006757,0.000110,0.000620,0.002120,0.000840,0.000000,0.000030,
arrays-ops.1.ground.smt2,,2,3,unsat,0.006301,0.000130,0.000600,0.002140,0.000500,0.000000,0.000010,
arrays-ops.1.ground.smt2,,2,4,unsat,0.006694,0.000140,0.000610,0.002180,0.000690,0.000000,0.000030,
arrays-ops.1.ground.smt2,,4,0,unsat,0.007839,0.000140,0.000600,0.002330,0.001400,0.000000,0.000030,
arrays-ops.1.ground.smt2,,4,1,unsat,0.009151,0.000160,0.000620,0.002330,0.001750,0.000000,0.000030,
arrays-ops.1.ground.smt2,,4,2,unsat,0.007591,0.000130,0.000620,0.002460,0.000940,0.000000,0.000020,
arrays-ops.1.ground.smt2,,4,3,unsat,0.008705,0.000160,0.000620,0.002450,0.001020,0.000000,0.000020,
arrays-ops.1.ground.smt2,,4,4,unsat,0.009038,0.000160,0.000620,0.002430,0.001560,0.000000,0.000030,
arrays-ops.1.ground.smt2,,8,0,unsat,0.010489,0.000130,0.000640,0.002990,0.002590,0.000000,0.000040,
arrays-ops.1.ground.smt2,,8,1,unsat,0.010703,0.000130,0.000620,0.003090,0.002720,0.000000,0.000040,
arrays-ops.1.ground.smt2,,8,2,unsat,0.010560,0.000150,0.000620,0.003010,0.002550,0.000000,0.000040,
arrays-ops.1.ground.smt2,,8,3,unsat,0.011880,0.000160,0.000620,0.003110,0.002720,0.000000,0.000040,
arrays-ops.1.ground.smt2,,8,4,unsat,0.010212,0.000130,0.000610,0.003080,0.002130,0.000000,0.000040,
arrays-ops.1.ground.smt2,,16,0,unsat,0.012004,0.000130,0.000610,0.003990,0.002720,0.000000,0.000030,
arrays-ops.1.ground.smt2,,16,1,unsat,0.013407,0.000130,0.000620,0.003860,0.003690,0.000000,0.000040,
arrays-ops.1.ground.smt2,,16,2,unsat,0.013359,0.000120,0.000640,0.004410,0.003120,0.000000,0.000040,
arrays-ops.1.ground.smt2,,16,3,unsat,0.013807,0.000130,0.000610,0.004560,0.003340,0.000000,0.000040,
arrays-ops.1.ground.smt2,,16,4,unsat,0.013235,0.000140,0.000620,0.004590,0.002800,0.000000,0.000050,
arrays-ops.1.ground.smt2,,32,0,unsat,0.020504,0.000150,0.000610,0.007230,0.005330,0.000000,0.000050,
arrays-ops.1.ground.smt2,,32,1,unsat,0.020716,0.000160,0.000610,0.007070,0.005210,0.000000,0.000040,
arrays-ops.1.ground.smt2,,32,2,unsat,0.019761,0.000140,0.000630,0.006250,0.005690,0.000000,0.000040,
arrays-ops.1.ground.smt2,,32,3,unsat,0.021573,0.000170,0.000630,0.006960,0.005560,0.000000,0.000030,
arrays-ops.1.ground.smt2,,32,4,unsat,0.020402,0.000140,0.000620,0.006720,0.005730,0.000000,0.000040,
arrays-ops.1.ground.smt2,,64,0,unsat,0.035133,0.000310,0.000630,0.012100,0.010930,0.000000,0.000040,
arrays-ops.1.ground.smt2,,64,1,unsat,0.031917,0.000160,0.000630,0.011220,0.009850,0.000000,0.000040,
arrays-ops.1.ground.smt2,,64,2,unsat,0.031162,0.000150,0.000640,0.010970,0.008940,0.000000,0.000040,
arrays-ops.1.ground.smt2,,64,3,unsat,0.032230,0.000160,0.000620,0.010750,0.010170,0.000000,0.000030,
arrays-ops.1.ground.smt2,,64,4,unsat,0.028671,0.000160,0.000620,0.010420,0.007710,0.000000,0.000040,
arrays-ops.1.ground.smt2,,128,0,unsat,0.098758,0.000150,0.000610,0.022860,0.057920,0.000000,0.000070,
arrays-ops.1.ground.smt2,,128,1,unsat,0.084548,0.000180,0.000640,0.023340,0.043130,0.000000,0.000040,
arrays-ops.1.ground.smt2,,128,2,unsat,0.073752,0.000180,0.000640,0.021320,0.034920,0.000000,0.000060,
arrays-ops.1.ground.smt2,,128,3,unsat,0.085084,0.000160,0.000650,0.023850,0.045590,0.000000,0.000040,
arrays-ops.1.ground.smt2,,128,4,unsat,0.094941,0.000180,0.000650,0.032310,0.043390,0.000000,0.000040,
arrays-ops.2.ground.smt2,,1,0,unsat,0.009014,0.000400,0.001390,0.002580,0.000660,0.000000,0.000010,
arrays-ops.2.ground.smt2,,1,1,unsat,0.008741,0.000230,0.001380,0.002470,0.000660,0.000000,0.000010,
arrays-ops.2.ground.smt2,,1,2,unsat,0.007665,0.000200,0.001380,0.002450,0.000640,0.000000,0.000010,
arrays-ops.2.ground.smt2,,1,3,unsat,0.008725,0.000230,0.001380,0.002530,0.000670,0.000000,0.000010,
arrays-ops.2.ground.smt2,,1,4,unsat,0.007769,0.000190,0.001380,0.002540,0.000640,0.000000,0.000010,
arrays-ops.2.ground.smt2,,2,0,unsat,0.008600,0.000210,0.001390,0.002600,0.001160,0.000000,0.000060,
arrays-ops.2.ground.smt2,,2,1,unsat,0.009208,0.000190,0.001400,0.002980,0.001180,0.000000,0.000100,
arrays-ops.2.ground.smt2,,2,2,unsat,0.009567,0.000240,0.001410,0.002930,0.000930,0.000000,0.000050,
arrays-ops.2.ground.smt2,,2,3,unsat,0.009445,0.000220,0.001400,0.002990,0.001330,0.000000,0.000050,
arrays-ops.2.ground.smt2,,2,4,unsat,0.010370,0.000230,0.001390,0.002950,0.001130,0.000000,0.000100,
arrays-ops.2.ground.smt2,,4,0,unsat,0.010870,0.000200,0.001390,0.003040,0.002420,0.000000,0.000060,
arrays-ops.2.ground.smt2,,4,1,unsat,0.011022,0.000230,0.001390,0.003320,0.001490,0.000000,0.000060,
arrays-ops.2.ground.smt2,,4,2,unsat,0.011406,0.000240,0.001400,0.003100,0.001960,0.000000,0.000060,
arrays-ops.2.ground.smt2,,4,3,unsat,0.010391,0.000220,0.001390,0.003130,0.001830,0.000000,0.000060,
arrays-ops.2.ground.smt2,,4,4,unsat,0.011492,0.000230,0.001400,0.003370,0.001840,0.000000,0.000060,
arrays-ops.2.ground.smt2,,8,0,unsat,0.012802,0.000200,0.001390,0.003780,0.003060,0.000000,0.000080,
arrays-ops.2.ground.smt2,,8,1,unsat,0.014201,0.000230,0.001410,0.003590,0.003520,0.000000,0.000080,
arrays-ops.2.ground.smt2,,8,2,unsat,0.012434,0.000210,0.001370,0.004250,0.002100,0.000000,0.000070,
arrays-ops.2.ground.smt2,,8,3,unsat,0.012928,0.000210,0.001390,0.004110,0.002500,0.000000,0.000070,
arrays-ops.2.ground.smt2,,8,4,unsat,0.012496,0.000230,0.001380,0.004100,0.002240,0.000000,0.000060,
arrays-ops.2.ground.smt2,,16,0,unsat,0.016830,0.000210,0.001360,0.004870,0.004530,0.000000,0.000050,
arrays-ops.2.ground.smt2,,16,1,unsat,0.017127,0.000210,0.001410,0.005920,0.003640,0.000000,0.000050,
arrays-ops.2.ground.smt2,,16,2,unsat,0.016935,0.000210,0.001380,0.005320,0.004170,0.000000,0.000050,
arrays-ops.2.ground.smt2,,16,3,unsat,0.017518,0.000220,0.001380,0.005360,0.004480,0.000000,0.000060,
arrays-ops.2.ground.smt2,,16,4,unsat,0.016657,0.000210,0.001370,0.005480,0.003870,0.000000,0.000050,
arrays-ops.2.ground.smt2,,32,0,unsat,0.024570,0.000220,0.001390,0.008560,0.006190,0.000000,0.000060,
arrays-ops.2.ground.smt2,,32,1,unsat,0.023398,0.000200,0.001360,0.008080,0.005780,0.000000,0.000050,
arrays-ops.2.ground.smt2,,32,2,unsat,0.023551,0.000220,0.001360,0.007450,0.006190,0.000000,0.000050,
arrays-ops.2.ground.smt2,,32,3,unsat,0.025864,0.000220,0.001360,0.007930,0.007270,0.000000,0.000060,
