[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.049s parse=0.039s build=0.154s
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.101ms frontier=  0.027ms semisort=  0.183ms (keyed= 0.004ms group_by=  0.071ms per_group= 0.045ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.064ms frontier=  0.013ms semisort=  0.122ms (keyed= 0.002ms group_by=  0.039ms per_group= 0.027ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.058ms frontier=  0.009ms semisort=  0.096ms (keyed= 0.002ms group_by=  0.031ms per_group= 0.036ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.065ms frontier=  0.006ms semisort=  0.088ms (keyed= 0.002ms group_by=  0.017ms per_group= 0.044ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.034ms frontier=  0.007ms semisort=  0.056ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.018ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.040ms frontier=  0.006ms semisort=  0.064ms (keyed= 0.002ms group_by=  0.014ms per_group= 0.023ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.030ms frontier=  0.005ms semisort=  0.055ms (keyed= 0.002ms group_by=  0.013ms per_group= 0.019ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.035ms frontier=  0.003ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.011ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.019ms frontier=  0.002ms semisort=  0.024ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.009ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.014ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.012ms frontier=  0.002ms semisort=  0.034ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.013ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.024ms frontier=  0.004ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.015ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.031ms frontier=  0.005ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.014ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.020ms frontier=  0.003ms semisort=  0.025ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.011ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.016ms frontier=  0.003ms semisort=  0.053ms (keyed= 0.002ms group_by=  0.015ms per_group= 0.014ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.014ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.007ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.000ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.001ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate=119.274ms frontier= 13.963ms semisort= 31.602ms (keyed= 6.437ms group_by=  0.863ms per_group= 3.160ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.991ms frontier=  0.177ms semisort=  2.738ms (keyed= 0.046ms group_by=  1.501ms per_group= 0.490ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.930ms frontier=  0.187ms semisort=  2.031ms (keyed= 0.029ms group_by=  1.082ms per_group= 0.358ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.680ms frontier=  0.124ms semisort=  1.244ms (keyed= 0.029ms group_by=  0.583ms per_group= 0.249ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.235ms frontier=  0.154ms semisort=  0.573ms (keyed= 0.021ms group_by=  0.186ms per_group= 0.158ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.602ms frontier=  0.111ms semisort=  0.864ms (keyed= 0.016ms group_by=  0.629ms per_group= 0.104ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.264ms frontier=  0.067ms semisort=  0.405ms (keyed= 0.008ms group_by=  0.201ms per_group= 0.093ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.109ms frontier=  0.023ms semisort=  0.206ms (keyed= 0.003ms group_by=  0.080ms per_group= 0.030ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.071ms frontier=  0.013ms semisort=  0.170ms (keyed= 0.002ms group_by=  0.045ms per_group= 0.062ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.071ms frontier=  0.008ms semisort=  0.101ms (keyed= 0.001ms group_by=  0.037ms per_group= 0.021ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.044ms frontier=  0.008ms semisort=  0.070ms (keyed= 0.001ms group_by=  0.018ms per_group= 0.025ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.036ms frontier=  0.007ms semisort=  0.068ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.021ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.032ms frontier=  0.006ms semisort=  0.059ms (keyed= 0.001ms group_by=  0.016ms per_group= 0.020ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.033ms frontier=  0.005ms semisort=  0.059ms (keyed= 0.001ms group_by=  0.020ms per_group= 0.017ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.030ms frontier=  0.003ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.011ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.019ms frontier=  0.002ms semisort=  0.021ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.007ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.016ms frontier=  0.002ms semisort=  0.017ms (keyed= 0.001ms group_by=  0.002ms per_group= 0.007ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.011ms frontier=  0.002ms semisort=  0.033ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.013ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.025ms frontier=  0.004ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.015ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.031ms frontier=  0.005ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.012ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.019ms frontier=  0.003ms semisort=  0.027ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.011ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.016ms frontier=  0.003ms semisort=  0.051ms (keyed= 0.002ms group_by=  0.015ms per_group= 0.013ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.017ms frontier=  0.002ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.006ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate=121.592ms frontier= 14.803ms semisort= 31.450ms (keyed= 6.048ms group_by=  0.912ms per_group= 3.140ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  0.947ms frontier=  0.234ms semisort=  2.502ms (keyed= 0.050ms group_by=  1.223ms per_group= 0.531ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.931ms frontier=  0.161ms semisort=  1.941ms (keyed= 0.027ms group_by=  0.999ms per_group= 0.366ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.712ms frontier=  0.134ms semisort=  1.561ms (keyed= 0.039ms group_by=  0.866ms per_group= 0.261ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.289ms frontier=  0.155ms semisort=  0.587ms (keyed= 0.025ms group_by=  0.202ms per_group= 0.151ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.604ms frontier=  0.113ms semisort=  0.701ms (keyed= 0.013ms group_by=  0.470ms per_group= 0.103ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.270ms frontier=  0.062ms semisort=  0.467ms (keyed= 0.010ms group_by=  0.253ms per_group= 0.095ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.115ms frontier=  0.024ms semisort=  0.195ms (keyed= 0.004ms group_by=  0.064ms per_group= 0.052ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.060ms frontier=  0.013ms semisort=  0.102ms (keyed= 0.002ms group_by=  0.027ms per_group= 0.030ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.066ms frontier=  0.008ms semisort=  0.114ms (keyed= 0.002ms group_by=  0.024ms per_group= 0.058ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.076ms frontier=  0.007ms semisort=  0.089ms (keyed= 0.002ms group_by=  0.013ms per_group= 0.049ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.039ms frontier=  0.007ms semisort=  0.055ms (keyed= 0.002ms group_by=  0.012ms per_group= 0.019ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.044ms frontier=  0.006ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.021ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.038ms frontier=  0.005ms semisort=  0.051ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.017ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.043ms frontier=  0.003ms semisort=  0.040ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.012ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.026ms frontier=  0.002ms semisort=  0.030ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.011ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.015ms frontier=  0.002ms semisort=  0.018ms (keyed= 0.001ms group_by=  0.002ms per_group= 0.007ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.012ms frontier=  0.002ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.005ms per_group= 0.020ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.023ms frontier=  0.004ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.015ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.027ms frontier=  0.005ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.012ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.025ms frontier=  0.004ms semisort=  0.021ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.011ms)
[pe] round= 21 work=       34 frontier=      618 next=       16 consolidate=  0.034ms frontier=  0.002ms semisort=  0.050ms (keyed= 0.002ms group_by=  0.012ms per_group= 0.017ms)
[pe] round= 22 work=       16 frontier=      416 next=        2 consolidate=  0.014ms frontier=  0.002ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.009ms per_group= 0.005ms)
[pe] round= 23 work=        2 frontier=       10 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.004ms (keyed= 0.000ms group_by=  0.001ms per_group= 0.001ms)
[pe] round= 24 work=        2 frontier=        6 next=        1 consolidate=  0.003ms frontier=  0.001ms semisort=  0.003ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.001ms)
[pe] round= 25 work=        1 frontier=        2 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.002ms (keyed= 0.000ms group_by=  0.000ms per_group= 0.000ms)
[pe] round=  0 work=  9164784 frontier=  5107471 next=    18446 consolidate=123.916ms frontier= 13.837ms semisort= 31.511ms (keyed= 6.601ms group_by=  0.858ms per_group= 3.139ms)
[pe] round=  1 work=    18446 frontier=   155897 next=    19255 consolidate=  1.110ms frontier=  0.228ms semisort=  2.610ms (keyed= 0.054ms group_by=  1.350ms per_group= 0.509ms)
[pe] round=  2 work=    19255 frontier=   104921 next=    10683 consolidate=  0.914ms frontier=  0.170ms semisort=  1.988ms (keyed= 0.024ms group_by=  1.054ms per_group= 0.356ms)
[pe] round=  3 work=    10683 frontier=    66171 next=     6134 consolidate=  0.754ms frontier=  0.133ms semisort=  1.394ms (keyed= 0.029ms group_by=  0.731ms per_group= 0.250ms)
[pe] round=  4 work=     6134 frontier=    21473 next=     2777 consolidate=  1.320ms frontier=  0.155ms semisort=  0.595ms (keyed= 0.025ms group_by=  0.221ms per_group= 0.137ms)
[pe] round=  5 work=     2777 frontier=     9757 next=     1093 consolidate=  0.637ms frontier=  0.112ms semisort=  0.943ms (keyed= 0.014ms group_by=  0.698ms per_group= 0.114ms)
[pe] round=  6 work=     1093 frontier=     3878 next=      455 consolidate=  0.277ms frontier=  0.071ms semisort=  0.644ms (keyed= 0.011ms group_by=  0.420ms per_group= 0.121ms)
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.102ms frontier=  0.023ms semisort=  0.201ms (keyed= 0.004ms group_by=  0.057ms per_group= 0.045ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.064ms frontier=  0.014ms semisort=  0.121ms (keyed= 0.002ms group_by=  0.030ms per_group= 0.026ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.042ms frontier=  0.009ms semisort=  0.101ms (keyed= 0.002ms group_by=  0.029ms per_group= 0.042ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.073ms frontier=  0.007ms semisort=  0.095ms (keyed= 0.002ms group_by=  0.016ms per_group= 0.048ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.036ms frontier=  0.007ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.018ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.032ms frontier=  0.006ms semisort=  0.061ms (keyed= 0.001ms group_by=  0.014ms per_group= 0.021ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.032ms frontier=  0.005ms semisort=  0.055ms (keyed= 0.001ms group_by=  0.013ms per_group= 0.019ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.030ms frontier=  0.004ms semisort=  0.035ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.013ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.019ms frontier=  0.003ms semisort=  0.025ms (keyed= 0.001ms group_by=  0.004ms per_group= 0.010ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.016ms frontier=  0.002ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.014ms frontier=  0.001ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.006ms per_group= 0.015ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.020ms frontier=  0.004ms semisort=  0.041ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.014ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.026ms frontier=  0.005ms semisort=  0.038ms (keyed= 0.001ms group_by=  0.007ms per_group= 0.012ms)
