[synthetic_bench] cube n=55 d=2 classes=665608 merges=55 ...
[pe] round= 14 work=       64 frontier=       64 next=       32 consolidate=  0.048ms frontier=  0.005ms semisort=  0.033ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.010ms)
[pe] round= 15 work=       32 frontier=       32 next=       16 consolidate=  0.025ms frontier=  0.003ms semisort=  0.014ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.004ms)
[pe] round= 16 work=       16 frontier=       16 next=        8 consolidate=  0.010ms frontier=  0.002ms semisort=  0.009ms (keyed= 0.000ms group_by=  0.004ms per_group= 0.002ms)
[pe] round= 17 work=        8 frontier=        8 next=        4 consolidate=  0.007ms frontier=  0.001ms semisort=  0.006ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 18 work=        4 frontier=        4 next=        2 consolidate=  0.003ms frontier=  0.001ms semisort=  0.005ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.001ms)
[pe] round= 19 work=        2 frontier=        0 next=        0 consolidate=  0.002ms frontier=  0.001ms semisort=  0.000ms (break)
[pe] round=  0 work=      110 frontier=   998250 next=   332750 consolidate=  0.279ms frontier=  0.497ms semisort= 66.799ms (keyed= 0.000ms group_by= 17.916ms per_group=20.485ms)
[pe] round=  1 work=   332750 frontier=   332750 next=   131072 consolidate= 87.236ms frontier= 18.716ms semisort= 41.029ms (keyed= 0.000ms group_by= 10.302ms per_group= 8.200ms)
[pe] round=  2 work=   131072 frontier=   131072 next=    70606 consolidate= 31.125ms frontier=  6.662ms semisort= 20.697ms (keyed= 0.000ms group_by=  5.070ms per_group= 4.933ms)
[pe] round=  3 work=    70606 frontier=    70606 next=    65536 consolidate= 17.115ms frontier=  4.083ms semisort= 14.397ms (keyed= 0.000ms group_by=  4.361ms per_group= 3.962ms)
[pe] round=  4 work=    65536 frontier=    65536 next=    32768 consolidate= 16.816ms frontier=  3.598ms semisort=  9.956ms (keyed= 0.000ms group_by=  3.694ms per_group= 1.988ms)
[pe] round=  5 work=    32768 frontier=    32768 next=    16384 consolidate=  8.690ms frontier=  1.508ms semisort=  4.850ms (keyed= 0.000ms group_by=  2.012ms per_group= 1.014ms)
[pe] round=  6 work=    16384 frontier=    16384 next=     8192 consolidate=  4.915ms frontier=  1.005ms semisort=  2.709ms (keyed= 0.000ms group_by=  0.979ms per_group= 0.544ms)
[pe] round=  7 work=     8192 frontier=     8192 next=     4096 consolidate=  2.272ms frontier=  0.586ms semisort=  1.437ms (keyed= 0.000ms group_by=  0.472ms per_group= 0.319ms)
[pe] round=  8 work=     4096 frontier=     4096 next=     2048 consolidate=  1.216ms frontier=  0.294ms semisort=  0.856ms (keyed= 0.000ms group_by=  0.253ms per_group= 0.176ms)
[pe] round=  9 work=     2048 frontier=     2048 next=     1024 consolidate=  0.662ms frontier=  0.250ms semisort=  0.457ms (keyed= 0.000ms group_by=  0.139ms per_group= 0.092ms)
[pe] round= 10 work=     1024 frontier=     1024 next=      512 consolidate=  0.343ms frontier=  0.138ms semisort=  0.253ms (keyed= 0.000ms group_by=  0.082ms per_group= 0.052ms)
[pe] round= 11 work=      512 frontier=      512 next=      256 consolidate=  0.216ms frontier=  0.066ms semisort=  0.160ms (keyed= 0.000ms group_by=  0.053ms per_group= 0.036ms)
[pe] round= 12 work=      256 frontier=      256 next=      128 consolidate=  0.095ms frontier=  0.036ms semisort=  0.095ms (keyed= 0.000ms group_by=  0.029ms per_group= 0.028ms)
[pe] round= 13 work=      128 frontier=      128 next=       64 consolidate=  0.075ms frontier=  0.016ms semisort=  0.047ms (keyed= 0.000ms group_by=  0.014ms per_group= 0.013ms)
[pe] round= 14 work=       64 frontier=       64 next=       32 consolidate=  0.050ms frontier=  0.005ms semisort=  0.031ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.011ms)
