workload,leaves,fns,nodes,merges,depth,algorithm,trial,parlay_threads,union_style,dnc_cutoff,wallclock_ms
large,50000,16,1000000,100000,1,nelson_seq,4,2,dnc,16,739.3931
large,50000,16,1000000,100000,1,par_close,0,2,dnc,16,385.6645
large,50000,16,1000000,100000,1,par_close,1,2,dnc,16,388.0822
large,50000,16,1000000,100000,1,par_close,2,2,dnc,16,394.0160
large,50000,16,1000000,100000,1,par_close,3,2,dnc,16,416.3624
large,50000,16,1000000,100000,1,par_close,4,2,dnc,16,398.0332
deep-s,1000,4,10000,2000,3,nelson_seq,0,2,dnc,16,2.2923
deep-s,1000,4,10000,2000,3,nelson_seq,1,2,dnc,16,2.2353
deep-s,1000,4,10000,2000,3,nelson_seq,2,2,dnc,16,2.2471
deep-s,1000,4,10000,2000,3,nelson_seq,3,2,dnc,16,2.3040
deep-s,1000,4,10000,2000,3,nelson_seq,4,2,dnc,16,2.3031
deep-s,1000,4,10000,2000,3,par_close,0,2,dnc,16,3.1278
deep-s,1000,4,10000,2000,3,par_close,1,2,dnc,16,3.1386
deep-s,1000,4,10000,2000,3,par_close,2,2,dnc,16,3.1873
deep-s,1000,4,10000,2000,3,par_close,3,2,dnc,16,3.1466
deep-s,1000,4,10000,2000,3,par_close,4,2,dnc,16,3.2002
deep-m,10000,8,200000,20000,3,nelson_seq,0,2,dnc,16,76.3015
deep-m,10000,8,200000,20000,3,nelson_seq,1,2,dnc,16,76.8522
deep-m,10000,8,200000,20000,3,nelson_seq,2,2,dnc,16,76.7341
deep-m,10000,8,200000,20000,3,nelson_seq,3,2,dnc,16,76.5085
deep-m,10000,8,200000,20000,3,nelson_seq,4,2,dnc,16,76.5621
deep-m,10000,8,200000,20000,3,par_close,0,2,dnc,16,67.5450
deep-m,10000,8,200000,20000,3,par_close,1,2,dnc,16,66.3086
deep-m,10000,8,200000,20000,3,par_close,2,2,dnc,16,65.3195
deep-m,10000,8,200000,20000,3,par_close,3,2,dnc,16,65.0936
deep-m,10000,8,200000,20000,3,par_close,4,2,dnc,16,70.7778
deep-l,50000,16,1000000,100000,3,nelson_seq,0,2,dnc,16,705.5493
deep-l,50000,16,1000000,100000,3,nelson_seq,1,2,dnc,16,669.1647
deep-l,50000,16,1000000,100000,3,nelson_seq,2,2,dnc,16,670.5642
deep-l,50000,16,1000000,100000,3,nelson_seq,3,2,dnc,16,670.9203
deep-l,50000,16,1000000,100000,3,nelson_seq,4,2,dnc,16,670.6039
deep-l,50000,16,1000000,100000,3,par_close,0,2,dnc,16,310.1879
deep-l,50000,16,1000000,100000,3,par_close,1,2,dnc,16,314.6359
deep-l,50000,16,1000000,100000,3,par_close,2,2,dnc,16,317.1602
deep-l,50000,16,1000000,100000,3,par_close,3,2,dnc,16,322.5519
deep-l,50000,16,1000000,100000,3,par_close,4,2,dnc,16,318.9521
small,1000,4,10000,2000,1,nelson_seq,0,4,dnc,16,3.0911
small,1000,4,10000,2000,1,nelson_seq,1,4,dnc,16,3.1401
small,1000,4,10000,2000,1,nelson_seq,2,4,dnc,16,3.1339
small,1000,4,10000,2000,1,nelson_seq,3,4,dnc,16,3.2033
small,1000,4,10000,2000,1,nelson_seq,4,4,dnc,16,3.1444
small,1000,4,10000,2000,1,par_close,0,4,dnc,16,3.7405
small,1000,4,10000,2000,1,par_close,1,4,dnc,16,5.9765
small,1000,4,10000,2000,1,par_close,2,4,dnc,16,7.7322
small,1000,4,10000,2000,1,par_close,3,4,dnc,16,5.4763
small,1000,4,10000,2000,1,par_close,4,4,dnc,16,5.1164
medium,10000,8,200000,20000,1,nelson_seq,0,4,dnc,16,79.1753
medium,10000,8,200000,20000,1,nelson_seq,1,4,dnc,16,80.5678
medium,10000,8,200000,20000,1,nelson_seq,2,4,dnc,16,84.2757
medium,10000,8,200000,20000,1,nelson_seq,3,4,dnc,16,78.9163
