file,suite,n_gates,n_literals,n_not_terms,total_classes,algorithm,trial,parlay_threads,read_s,parse_s,build_s,close_ms
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,par_filter,1,1,0.218275,0.169188,0.330268,305.3655
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,par_filter,2,1,0.218275,0.169188,0.330268,304.6947
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,par_filter,3,1,0.218275,0.169188,0.330268,304.0670
h5m-n04-ands.gates,iwls22_with_not,1782230,1246980,573992,3603202,par_filter,4,1,0.218275,0.169188,0.330268,304.0685
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple,0,1,0.162117,0.119049,0.227807,263.0894
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple,1,1,0.162117,0.119049,0.227807,260.8000
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple,2,1,0.162117,0.119049,0.227807,261.2336
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple,3,1,0.162117,0.119049,0.227807,259.4195
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,nelson_simple,4,1,0.162117,0.119049,0.227807,255.1107
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_parents,0,1,0.162117,0.119049,0.227807,1040.5775
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_parents,1,1,0.162117,0.119049,0.227807,1097.9100
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_parents,2,1,0.162117,0.119049,0.227807,1114.7686
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_parents,3,1,0.162117,0.119049,0.227807,1140.8347
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_parents,4,1,0.162117,0.119049,0.227807,1146.2880
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_filter,0,1,0.162117,0.119049,0.227807,207.6079
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_filter,1,1,0.162117,0.119049,0.227807,208.7900
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_filter,2,1,0.162117,0.119049,0.227807,206.0053
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_filter,3,1,0.162117,0.119049,0.227807,206.0380
h5m-n04-xits.gates,iwls22_with_not,1268358,707582,308278,2284218,par_filter,4,1,0.162117,0.119049,0.227807,205.6407
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple,0,1,0.603295,0.489223,0.967738,1273.0228
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple,1,1,0.603295,0.489223,0.967738,1277.7228
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple,2,1,0.603295,0.489223,0.967738,1313.7106
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple,3,1,0.603295,0.489223,0.967738,1313.6250
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,nelson_simple,4,1,0.603295,0.489223,0.967738,1312.6123
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_parents,0,1,0.603295,0.489223,0.967738,5267.5926
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_parents,1,1,0.603295,0.489223,0.967738,5674.2395
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_parents,2,1,0.603295,0.489223,0.967738,5773.2325
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_parents,3,1,0.603295,0.489223,0.967738,5968.5881
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_parents,4,1,0.603295,0.489223,0.967738,6000.9419
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_filter,0,1,0.603295,0.489223,0.967738,1278.2664
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_filter,1,1,0.603295,0.489223,0.967738,1276.7191
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_filter,2,1,0.603295,0.489223,0.967738,1274.7961
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_filter,3,1,0.603295,0.489223,0.967738,1276.1171
h5m-n06-ands.gates,iwls22_with_not,4663996,3206860,1500349,9371205,par_filter,4,1,0.603295,0.489223,0.967738,1276.5821
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple,0,1,0.398169,0.329769,0.609021,764.9463
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple,1,1,0.398169,0.329769,0.609021,758.9505
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple,2,1,0.398169,0.329769,0.609021,766.1679
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple,3,1,0.398169,0.329769,0.609021,766.9579
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,nelson_simple,4,1,0.398169,0.329769,0.609021,765.1877
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_parents,0,1,0.398169,0.329769,0.609021,2891.7287
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_parents,1,1,0.398169,0.329769,0.609021,3089.0452
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_parents,2,1,0.398169,0.329769,0.609021,3130.5150
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_parents,3,1,0.398169,0.329769,0.609021,3214.8420
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_parents,4,1,0.398169,0.329769,0.609021,3220.0569
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_filter,0,1,0.398169,0.329769,0.609021,710.9535
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_filter,1,1,0.398169,0.329769,0.609021,713.2805
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_filter,2,1,0.398169,0.329769,0.609021,712.2022
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_filter,3,1,0.398169,0.329769,0.609021,710.7367
h5m-n06-xits.gates,iwls22_with_not,3117439,1735829,729369,5582637,par_filter,4,1,0.398169,0.329769,0.609021,707.6415
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,nelson_simple,0,1,0.172354,0.129115,0.275194,306.8033
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,nelson_simple,1,1,0.172354,0.129115,0.275194,303.0382
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,nelson_simple,2,1,0.172354,0.129115,0.275194,304.9245
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,nelson_simple,3,1,0.172354,0.129115,0.275194,301.5920
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,nelson_simple,4,1,0.172354,0.129115,0.275194,302.6794
h5m-test01-ands.gates,iwls22_with_not,1380000,1038141,465435,2883576,par_parents,0,1,0.172354,0.129115,0.275194,1399.4463
