[gates_bench] ./miter-cc-benchmarks/hwmcc12_with_not/6s114-ands-opt.gates ...
  literals=3710951  NOT=1561263  gates=4017244  total_classes=9289458  read=0.054s parse=0.059s build=0.189s
[pe] round=  7 work=      455 frontier=     1317 next=      243 consolidate=  0.147ms frontier=  0.045ms semisort=  0.269ms (keyed= 0.005ms group_by=  0.146ms per_group= 0.039ms)
[pe] round=  8 work=      243 frontier=      800 next=      157 consolidate=  0.119ms frontier=  0.015ms semisort=  0.225ms (keyed= 0.006ms group_by=  0.079ms per_group= 0.063ms)
[pe] round=  9 work=      157 frontier=      572 next=      125 consolidate=  0.065ms frontier=  0.011ms semisort=  0.151ms (keyed= 0.002ms group_by=  0.057ms per_group= 0.036ms)
[pe] round= 10 work=      125 frontier=      436 next=      118 consolidate=  0.055ms frontier=  0.009ms semisort=  0.108ms (keyed= 0.001ms group_by=  0.034ms per_group= 0.031ms)
[pe] round= 11 work=      118 frontier=      392 next=       91 consolidate=  0.070ms frontier=  0.008ms semisort=  0.100ms (keyed= 0.001ms group_by=  0.025ms per_group= 0.031ms)
[pe] round= 12 work=       91 frontier=      344 next=       65 consolidate=  0.048ms frontier=  0.007ms semisort=  0.092ms (keyed= 0.001ms group_by=  0.026ms per_group= 0.029ms)
[pe] round= 13 work=       65 frontier=      375 next=       49 consolidate=  0.043ms frontier=  0.006ms semisort=  0.097ms (keyed= 0.001ms group_by=  0.027ms per_group= 0.024ms)
[pe] round= 14 work=       49 frontier=      157 next=       26 consolidate=  0.053ms frontier=  0.005ms semisort=  0.037ms (keyed= 0.001ms group_by=  0.008ms per_group= 0.012ms)
[pe] round= 15 work=       26 frontier=       84 next=       17 consolidate=  0.034ms frontier=  0.004ms semisort=  0.028ms (keyed= 0.000ms group_by=  0.003ms per_group= 0.016ms)
[pe] round= 16 work=       17 frontier=       54 next=       15 consolidate=  0.042ms frontier=  0.003ms semisort=  0.013ms (keyed= 0.000ms group_by=  0.002ms per_group= 0.006ms)
[pe] round= 17 work=       15 frontier=      188 next=       42 consolidate=  0.035ms frontier=  0.003ms semisort=  0.051ms (keyed= 0.001ms group_by=  0.010ms per_group= 0.020ms)
[pe] round= 18 work=       42 frontier=      222 next=       67 consolidate=  0.035ms frontier=  0.004ms semisort=  0.072ms (keyed= 0.001ms group_by=  0.012ms per_group= 0.037ms)
[pe] round= 19 work=       67 frontier=      204 next=       35 consolidate=  0.041ms frontier=  0.005ms semisort=  0.050ms (keyed= 0.000ms group_by=  0.008ms per_group= 0.029ms)
[pe] round= 20 work=       35 frontier=       74 next=       34 consolidate=  0.034ms frontier=  0.004ms semisort=  0.025ms (keyed= 0.000ms group_by=  0.005ms per_group= 0.014ms)
